plan_id,机构,质评项目组,质评原写法,项目库标准名,匹配方式,是否已录入成绩,风险标记
6,卫健委,血气和酸碱分析,Ph,血气和酸碱分析-pH,exact,是,⚠已录入成绩-改写会丢失
6,卫健委,血气和酸碱分析,pCO2,血气和酸碱分析-PCO2,exact,是,⚠已录入成绩-改写会丢失
6,卫健委,血气和酸碱分析,PO2,血气和酸碱分析-PO2,exact,是,⚠已录入成绩-改写会丢失
6,卫健委,血气和酸碱分析,离子钙,血气和酸碱分析-Ca,exact,是,⚠已录入成绩-改写会丢失
7,卫健委,血气和酸碱分析,Ph,血气和酸碱分析-pH,exact,是,⚠已录入成绩-改写会丢失
7,卫健委,血气和酸碱分析,pCO2,血气和酸碱分析-PCO2,exact,是,⚠已录入成绩-改写会丢失
7,卫健委,血气和酸碱分析,PO2,血气和酸碱分析-PO2,exact,是,⚠已录入成绩-改写会丢失
7,卫健委,血气和酸碱分析,离子钙,血气和酸碱分析-Ca,exact,是,⚠已录入成绩-改写会丢失
83,北京市,感染性疾病抗原抗体快速检测,HIV（胶体金）,快速抗HIV抗体,exact,是,⚠已录入成绩-改写会丢失
83,北京市,感染性疾病抗原抗体快速检测,HBsAg（胶体金）,快速乙型肝炎病毒表面抗原,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
83,北京市,感染性疾病抗原抗体快速检测,TP（胶体金）,快速抗梅毒螺旋体抗体,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
83,北京市,感染性疾病抗原抗体快速检测,HCV（胶体金）,快速抗丙型肝炎病毒抗体(仅复检）,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
85,北京市,内分泌,TT3,三碘甲状腺原氨酸,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
85,北京市,内分泌,TT4,甲状腺素,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
85,北京市,内分泌,FT3,游离三碘甲状腺原氨酸,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
85,北京市,内分泌,FT4,游离甲状腺素,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
85,北京市,内分泌,TSH,促甲状腺激素,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
85,北京市,内分泌,B12,维生素B12,exact,是,⚠已录入成绩-改写会丢失
85,北京市,内分泌,PTH,甲状旁腺激素,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
87,北京市,感染性疾病血清学标志物系列B,HEV-IgM,戊肝抗体IgM抗体,exact,是,⚠已录入成绩-改写会丢失
87,北京市,感染性疾病血清学标志物系列B,HAV-IgM,抗精子抗体IgM,substring,是,⚠已录入成绩-改写会丢失
89,北京市,肝炎标志物,HBsAg,乙型肝炎病毒表面抗原,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
89,北京市,肝炎标志物,HBsAb,乙型肝炎病毒表面抗体,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
89,北京市,肝炎标志物,HBeAg,乙型肝炎病毒e抗原,exact,是,⚠已录入成绩-改写会丢失
